english,korean,category,difficulty,example1,example2
apple,사과,fruits,1,I eat an apple.,The apple is red.
banana,바나나,fruits,1,I like bananas.,Bananas are yellow.
orange,오렌지,fruits,1,This orange is sweet.,I drink orange juice.
grape,포도,fruits,1,Grapes are delicious.,I picked some grapes.
strawberry,딸기,fruits,1,Strawberries are sweet.,I love strawberries.
watermelon,수박,fruits,1,The watermelon is big.,Watermelon is refreshing.
peach,복숭아,fruits,1,This peach is juicy.,I bought some peaches.
pear,배,fruits,1,The pear is sweet.,I like pears.
cherry,체리,fruits,2,Cherries are red.,I picked cherries.
lemon,레몬,fruits,2,Lemons are sour.,I drink lemon water.
cat,고양이,animals,1,I have a cat.,The cat is cute.
dog,개,animals,1,My dog is big.,Dogs are friendly.
rabbit,토끼,animals,1,The rabbit is fast.,I have a pet rabbit.
bird,새,animals,1,Birds can fly.,I see a bird.
fish,물고기,animals,1,Fish live in water.,I have a pet fish.
mouse,쥐,animals,1,The mouse is small.,I saw a mouse.
cow,소,animals,1,Cows give us milk.,The cow is big.
pig,돼지,animals,1,Pigs are pink.,I saw a pig on the farm.
horse,말,animals,1,Horses can run fast.,I ride a horse.
sheep,양,animals,1,Sheep have wool.,I see many sheep.
chicken,닭,animals,1,Chickens lay eggs.,I heard a chicken.
duck,오리,animals,1,Ducks swim in the pond.,I feed the ducks.
elephant,코끼리,animals,2,Elephants are large.,I saw an elephant at the zoo.
lion,사자,animals,2,The lion is strong.,Lions live in Africa.
tiger,호랑이,animals,2,Tigers are dangerous.,I saw a tiger in the jungle.
bear,곰,animals,2,Bears are strong.,I saw a bear in the forest.
monkey,원숭이,animals,2,Monkeys climb trees.,The monkey is funny.
giraffe,기린,animals,2,Giraffes have long necks.,I saw a giraffe at the zoo.
zebra,얼룩말,animals,2,Zebras have stripes.,The zebra is beautiful.
penguin,펭귄,animals,2,Penguins live in Antarctica.,I like penguins.
dolphin,돌고래,animals,2,Dolphins are smart.,I saw dolphins in the ocean.
whale,고래,animals,3,Whales are huge.,Blue whales are the largest animals.
kangaroo,캥거루,animals,3,Kangaroos jump high.,Kangaroos live in Australia.
crocodile,악어,animals,3,Crocodiles are dangerous.,I saw a crocodile in the river.
hippopotamus,하마,animals,3,Hippopotamuses are heavy.,The hippopotamus lives in water.
rhinoceros,코뿔소,animals,3,Rhinoceroses have horns.,The rhinoceros is endangered.
happy,행복한,adjectives,1,I am happy.,She looks happy today.
sad,슬픈,adjectives,1,He is sad.,Don't be sad.
big,큰,adjectives,1,This is a big house.,The elephant is big.
small,작은,adjectives,1,This is a small box.,The mouse is small.
good,좋은,adjectives,1,This is good.,You did a good job.
bad,나쁜,adjectives,1,This is bad.,Bad weather today.
hot,뜨거운,adjectives,1,The soup is hot.,It's hot today.
cold,추운,adjectives,1,The water is cold.,It's cold outside.
fast,빠른,adjectives,1,The car is fast.,He runs fast.
slow,느린,adjectives,1,The turtle is slow.,Don't be slow.
new,새로운,adjectives,1,I have a new book.,This is new.
old,오래된,adjectives,1,This is an old house.,My grandfather is old.
young,젊은,adjectives,1,She is young.,Young people like music.
tall,키가 큰,adjectives,1,He is tall.,The building is tall.
short,키가 작은,adjectives,1,She is short.,This pencil is short.
long,긴,adjectives,1,The river is long.,Her hair is long.
beautiful,아름다운,adjectives,2,She is beautiful.,What a beautiful day!
pretty,예쁜,adjectives,2,The flower is pretty.,You look pretty.
ugly,못생긴,adjectives,2,The monster is ugly.,Don't say ugly things.
clean,깨끗한,adjectives,2,The room is clean.,Keep your hands clean.
dirty,더러운,adjectives,2,The floor is dirty.,Wash your dirty clothes.
easy,쉬운,adjectives,2,This is easy.,The test was easy.
hard,어려운,adjectives,2,This is hard.,Math is hard for me.
strong,강한,adjectives,2,He is strong.,The wind is strong.
weak,약한,adjectives,2,I feel weak.,The signal is weak.
rich,부유한,adjectives,2,He is rich.,Rich people have money.
poor,가난한,adjectives,2,They are poor.,Poor children need help.
smart,똑똑한,adjectives,2,She is smart.,Smart students study hard.
stupid,어리석은,adjectives,2,Don't be stupid.,That was a stupid mistake.
brave,용감한,adjectives,2,The soldier is brave.,Be brave!
afraid,두려운,adjectives,2,I am afraid.,Don't be afraid.
angry,화난,adjectives,2,He is angry.,Why are you angry?
tired,피곤한,adjectives,2,I am tired.,She looks tired.
hungry,배고픈,adjectives,2,I am hungry.,The dog is hungry.
thirsty,목마른,adjectives,2,I am thirsty.,Are you thirsty?
difficult,어려운,adjectives,3,This is difficult.,The problem is difficult.
important,중요한,adjectives,3,This is important.,Education is important.
dangerous,위험한,adjectives,3,This is dangerous.,Don't do dangerous things.
interesting,흥미로운,adjectives,3,The book is interesting.,This is interesting.
boring,지루한,adjectives,3,The movie is boring.,This class is boring.
exciting,신나는,adjectives,3,The game is exciting.,What an exciting day!
wonderful,멋진,adjectives,3,What a wonderful day!,This is wonderful.
terrible,끔찍한,adjectives,3,The weather is terrible.,That was terrible.
excellent,훌륭한,adjectives,3,Your work is excellent.,This is excellent!
perfect,완벽한,adjectives,3,This is perfect.,Nobody is perfect.
friend,친구,nouns,1,She is my friend.,I have many friends.
school,학교,nouns,1,I go to school.,My school is big.
book,책,nouns,1,I read a book.,This book is interesting.
pen,펜,nouns,1,I write with a pen.,I need a pen.
pencil,연필,nouns,1,This is my pencil.,I draw with a pencil.
desk,책상,nouns,1,The desk is clean.,I study at my desk.
chair,의자,nouns,1,Sit on the chair.,This chair is comfortable.
table,테이블,nouns,1,The table is big.,Put it on the table.
door,문,nouns,1,Close the door.,Open the door.
window,창문,nouns,1,Open the window.,The window is clean.
house,집,nouns,1,I live in a house.,My house is big.
room,방,nouns,1,This is my room.,The room is clean.
bed,침대,nouns,1,I sleep on the bed.,My bed is soft.
car,자동차,nouns,1,My car is fast.,I drive a car.
bus,버스,nouns,1,I take the bus.,The bus is coming.
train,기차,nouns,1,I ride the train.,The train is fast.
plane,비행기,nouns,1,The plane is flying.,I travel by plane.
bike,자전거,nouns,1,I ride a bike.,My bike is new.
ball,공,nouns,1,I play with a ball.,Throw the ball.
toy,장난감,nouns,1,This is my toy.,I have many toys.
computer,컴퓨터,nouns,2,I use a computer.,My computer is new.
phone,전화,nouns,2,I have a phone.,Call me on the phone.
television,텔레비전,nouns,2,I watch television.,The television is big.
music,음악,nouns,2,I like music.,She listens to music.
picture,그림,nouns,2,This is a nice picture.,I drew a picture.
photo,사진,nouns,2,Take a photo.,I have many photos.
movie,영화,nouns,2,I watch a movie.,The movie is good.
game,게임,nouns,2,I play a game.,This game is fun.
sport,스포츠,nouns,2,I like sports.,Sports are healthy.
park,공원,nouns,2,I go to the park.,The park is beautiful.
store,가게,nouns,2,I go to the store.,The store is open.
hospital,병원,nouns,2,I go to the hospital.,The hospital is big.
restaurant,식당,nouns,2,We eat at a restaurant.,This restaurant is good.
library,도서관,nouns,2,I study at the library.,The library is quiet.
museum,박물관,nouns,2,I visit the museum.,The museum is interesting.
zoo,동물원,nouns,2,I go to the zoo.,The zoo has many animals.
beach,해변,nouns,2,I go to the beach.,The beach is beautiful.
mountain,산,nouns,2,The mountain is high.,I climb mountains.
river,강,nouns,2,The river is long.,I swim in the river.
lake,호수,nouns,2,The lake is calm.,We fish in the lake.
